Molecule Name,SMILES,pEC50,pEC50_std.error (-log10(molarity)),source
AUX-0000,O=C(Cn1ncc(=O)c2ccccc21)N[C@H]1CCO[C@@H]1c1cncc(-c2ccccc2F)c1,4.190124942559653,0.291,crude
AUX-0001,CCCCCC1CN(C(=O)Cn2ncc(=O)c3ccccc32)C1,1.9148523865175069,0.518,crude
AUX-0002,O=C(Cn1ncc(=O)c2ccccc21)NC(Cc1ccc(F)cc1)C1COc2ccccc2O1,5.307978495575323,0.0791,crude
AUX-0003,COc1ccc(C(C)(O)C2CCCN2C(=O)Cn2ncc(=O)c3ccccc32)cc1,4.447500600928917,0.273,crude
AUX-0004,Cc1nc2c(cc(OCCNC(=O)Cn3ncc(=O)c4ccccc43)c3ccsc32)s1,5.3088373033852125,0.157,crude
AUX-0005,O=C(Cn1ncc(=O)c2ccccc21)N1CC2(CCC2)C1c1ccncc1,3.592742600424222,0.296,crude
AUX-0006,CCOC(=O)C1CN(C(=O)Cn2ncc(=O)c3ccccc32)CC12CCCCCC2(F)F,5.074163977142439,0.104,crude
AUX-0007,C#CCOC1CCCN(C(=O)Cn2ncc(=O)c3ccccc32)C1,3.4111329512097113,0.287,crude
AUX-0008,Cc1nc(-c2ccccc2)sc1C(C)N(C)C(=O)Cn1ncc(=O)c2ccccc21,1.768699303411949,0.537,crude
AUX-0009,O=C(Cn1ncc(=O)c2ccccc21)N[C@H](Cc1cc(F)c(F)cc1F)CC(F)(F)F,5.072166460336644,0.0677,crude
AUX-0010,O=C(Cn1ncc(=O)c2ccccc21)NCc1ccccc1COc1ccccc1,4.260840608799426,0.233,crude
AUX-0011,COc1ccc(CN(C(=O)Cn2ncc(=O)c3ccccc32)C(C)C2CCC2)c(OC)c1,5.496318303409338,0.0975,crude
AUX-0012,C[C@@H](NC(=O)Cn1ncc(=O)c2ccccc21)c1cn2c(Br)cccc2n1,5.154773466106664,0.269,crude
AUX-0013,Cc1noc(C)c1COc1ccc(CNC(=O)Cn2ncc(=O)c3ccccc32)cc1,1.8344957988403647,0.539,crude
AUX-0014,CC1(C)[C@H]2CC[C@]1(C)CN(C(=O)Cn1ncc(=O)c3ccccc31)C2,5.094605232259104,0.115,crude
AUX-0015,CC(NC(=O)Cn1ncc(=O)c2ccccc21)c1noc(Cc2ccccc2)n1,3.3020032312353096,0.357,crude
AUX-0016,O=C(CN(Cc1cccnc1)C(=O)Cn1ncc(=O)c2ccccc21)Nc1ccc(Cl)cc1,3.765689150750191,0.293,crude
AUX-0017,O=C(Cn1ncc(=O)c2ccccc21)NC(CN1CCOCC1)C12CC3CC(CC(C3)C1)C2,4.834448514657226,0.15,crude
AUX-0018,O=C(Cn1ncc(=O)c2ccccc21)N1CCSCC1CC(=O)N(Cc1ccsc1)C1CC1,5.927258619858962,0.0324,crude
AUX-0019,NC(=O)c1ccc(CN(C(=O)Cn2ncc(=O)c3ccccc32)C2CC2)c(F)c1,4.719801455948809,0.166,crude
AUX-0020,O=C(Cn1ncc(=O)c2ccccc21)N1C2CCCC1(F)CC2,5.396887736129509,0.173,crude
AUX-0021,O=C(Cn1ncc(=O)c2ccccc21)N1C[C@H]2CC[C@@H]1c1ccccc12,4.543490100286265,0.183,crude
AUX-0022,COC(=O)c1nc(C2CCCN2C(=O)Cn2ncc(=O)c3ccccc32)sc1C,3.973682343958296,0.287,crude
AUX-0023,CC(Oc1cccc(F)c1F)C(=O)N1CCN(C(=O)Cn2ncc(=O)c3ccccc32)CC1,4.063722617916576,0.281,crude
AUX-0024,COc1ccc2c(c1)C(O)(CNC(=O)Cn1ncc(=O)c3ccccc31)CC2,4.7759574287566835,0.278,crude
AUX-0025,O=C(Cn1ncc(=O)c2ccccc21)N[C@@H](Cc1ccccc1)C(=O)NCc1cccs1,4.571664393660764,0.261,crude
AUX-0026,CCC1CC1(NC(=O)Cn1ncc(=O)c2ccccc21)c1cccc(C)c1,5.383464650382093,0.0858,crude
AUX-0027,O=C(Cn1ncc(=O)c2ccccc21)N1CC(Oc2ccncc2C(F)(F)F)C1,2.700468680397213,0.582,crude
AUX-0028,O=C(Cn1ncc(=O)c2ccccc21)NCC1CSCCS1,4.660779835368976,0.118,crude
AUX-0029,CCn1ccc(CN(C)C(=O)Cn2ncc(=O)c3ccccc32)c1,2.591937348637793,0.531,crude
AUX-0030,O=C(Cn1ncc(=O)c2ccccc21)NCc1ccc(N2CCC(O)CC2)c(F)c1,3.3095599671696885,0.0514,crude
AUX-0031,CC(C)(C)OC(=O)N1CCN(C(=O)Cn2ncc(=O)c3ccccc32)C2CC21,4.600067022101173,0.0877,crude
AUX-0032,COC(=O)C1Cc2c(Br)cccc2CN1C(=O)Cn1ncc(=O)c2ccccc21,5.052106377986076,0.225,crude
AUX-0033,Cc1ccc(Br)cc1C1(NC(=O)Cn2ncc(=O)c3ccccc32)CC1,5.652479705696439,0.067,crude
AUX-0034,O=C(Cn1ncc(=O)c2ccccc21)NCC1C=CCCCC1,3.567364672632659,0.0328,crude
AUX-0035,O=C(Cn1ncc(=O)c2ccccc21)NCc1ccc2nsnc2c1,2.062313281138989,0.536,crude
AUX-0036,CCc1ncc2c(n1)CC1CCC2N1C(=O)Cn1ncc(=O)c2ccccc21,3.8911184812283226,0.297,crude
AUX-0037,CC(C)C1N(C(=O)Cn2ncc(=O)c3ccccc32)CC12CC=CC2,4.483050560870945,0.255,crude
AUX-0038,O=C(Cn1ncc(=O)c2ccccc21)NCC1CCCCC1OCC(F)(F)F,6.043169370632706,0.127,crude
AUX-0039,O=C(Cn1ncc(=O)c2ccccc21)N1CC(=O)N2CCc3ccccc3C2C1,5.555246011639735,0.0754,crude
AUX-0040,Cn1ncc2cc(CNC(=O)Cn3ncc(=O)c4ccccc43)cnc21,1.8374020846086716,0.557,crude
AUX-0041,O=C(Cn1ncc(=O)c2ccccc21)N1CCN(c2cccc3[nH]ncc23)CC1,2.6240128299720697,0.526,crude
AUX-0042,Cc1nc(C(NC(=O)Cn2ncc(=O)c3ccccc32)c2ccc(Cl)c(F)c2)no1,4.721792381285274,0.17,crude
AUX-0043,COc1ccccc1-c1csc(C2CCCN(C(=O)Cn3ncc(=O)c4ccccc43)C2)n1,6.2921743960075265,0.0979,crude
AUX-0044,O=C(Cn1ncc(=O)c2ccccc21)N1CC(O[C@@H]2CCCC[C@H]2O)C1,4.315711962117543,0.109,crude
AUX-0045,COc1cccc(CN(CC(F)F)C(=O)Cn2ncc(=O)c3ccccc32)c1O,4.151850373300231,0.257,crude
AUX-0046,CCC(NC(=O)Cn1ncc(=O)c2ccccc21)C(=O)NC(C)c1cc(C)sc1C,4.408987703954461,0.271,crude
AUX-0047,COc1ccc(CCCNC(=O)Cn2ncc(=O)c3ccccc32)cn1,3.602843615022115,0.0192,crude
AUX-0048,O=C(Nc1ccc(Cl)cc1Cl)C1CCCCN1C(=O)Cn1ncc(=O)c2ccccc21,5.4735676046382915,0.0758,crude
